,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,***.*,***.*,***.*
2,Rape,,0,0.0,***.*,0.0,0,***.*,4,2,100,0,33.333333333333,-20
3,Robbery,,1,1.0,0,6.0,4,50,36,34,5.882352941176,5.882352941176,28.571428571428,-86.363636363636
4,Fel. Assault,,2,1.0,100,6.0,4,50,53,43,23.255813953488,12.765957446808,65.625,-30.263157894736
5,Burglary,,0,2.0,-100,0.0,8,-100,39,56,-30.357142857142,-56.666666666666,-26.415094339622,-91.925465838509
6,Gr. Larceny,,13,21.0,-38.095238095238,46.0,63,-26.984126984127,253,330,-23.333333333333,-10.60070671378,-18.910256410256,-72.67818574514
7,G.L.A.,,1,2.0,-50,4.0,5,-20,12,24,-50,-29.411764705882,9.090909090909,-95.890410958904
8,TOTAL,,17,27.0,-37.037037037037,62.0,84,-26.190476190476,398,489,-18.609406952965,-16.210526315789,-9.339407744874,-80.547409579667
9,Transit,,1,1.0,0,1.0,3,-66.666666666666,22,16,37.5,120,29.411764705882,***.*
10,Housing,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
11,Petit Larceny,,18,22.0,-18.181818181818,74.0,77,-3.896103896103,421,415,1.44578313253,-20.265151515151,50.357142857142,***.*
12,Retail Theft,,11,22.0,-50,56.0,69,-18.840579710144,340,340,0,-23.076923076923,***.*,***.*
13,Misd. Assault,,4,9.0,-55.555555555555,14.0,23,-39.130434782608,91,123,-26.016260162601,-12.5,-12.5,***.*
14,UCR Rape*,,0,0.0,***.*,1.0,0,***.*,6,4,50,0,***.*,***.*
15,Other Sex Crimes,,3,1.0,200,6.0,6,0,27,27,0,28.571428571428,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,-100,***.*,-100
17,Shooting Inc.,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,-100,***.*,-100
18,Hate Crimes,,0,0.0,***.*,2.0,0,***.*,7,3,133.333333333333,40,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,1,-100,-100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,6,,0,,0,,0,1,/0,/0,/0,-83.333333333333
27,Rape,,12,,14,,7,,8,7,-12.5,0,-50,-41.666666666666
28,Robbery,,740,,619,,247,,149,112,-24.8322147651,-54.655870445344,-81.906300484652,-84.864864864864
29,Fel. Assault,,181,,161,,79,,103,106,2.912621359223,34.177215189873,-34.161490683229,-41.436464088397
30,Burglary,,1412,,1230,,548,,265,136,-48.679245283018,-75.182481751824,-88.943089430894,-90.368271954674
31,Gr. Larceny,,2910,,2287,,1490,,1312,687,-47.637195121951,-53.892617449664,-69.960647135986,-76.391752577319
32,G.L.A.,,843,,639,,203,,111,64,-42.342342342342,-68.47290640394,-89.98435054773,-92.408066429418
33,TOTAL,,6104,,4950,,2574,,1948,1113,-42.864476386037,-56.759906759906,-77.515151515151,-81.766055045871
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
