,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,-100,-100,-100
2,Rape,,0,0.0,***.*,0.0,1,-100,4,4,0,-42.857142857142,-42.857142857142,-69.230769230769
3,Robbery,,3,5.0,-40,8.0,13,-38.461538461538,60,53,13.207547169811,42.857142857142,-17.808219178082,-82.758620689655
4,Fel. Assault,,4,4.0,0,21.0,18,16.666666666666,81,79,2.53164556962,37.28813559322,68.75,-36.220472440944
5,Burglary,,2,5.0,-60,3.0,12,-75,23,44,-47.727272727272,-61.016949152542,-37.837837837837,-91.872791519434
6,Gr. Larceny,,7,10.0,-30,18.0,30,-40,142,177,-19.774011299435,-5.333333333333,27.927927927927,-51.535836177474
7,G.L.A.,,1,2.0,-50,5.0,11,-54.545454545454,15,55,-72.727272727272,-55.882352941176,114.285714285714,-92.146596858638
8,TOTAL,,17,26.0,-34.615384615384,55.0,85,-35.294117647058,325,412,-21.116504854368,-7.670454545454,14.035087719298,-74.226804123711
9,Transit,,0,0.0,***.*,1.0,3,-66.666666666666,6,17,-64.705882352941,-40,-45.454545454545,***.*
10,Housing,,3,4.0,-25,13.0,10,30,61,65,-6.153846153846,27.083333333333,60.526315789473,***.*
11,Petit Larceny,,13,8.0,62.5,31.0,48,-35.416666666666,167,227,-26.431718061674,-28.01724137931,-28.936170212766,***.*
12,Retail Theft,,3,3.0,0,6.0,18,-66.666666666666,28,80,-65,-61.111111111111,***.*,***.*
13,Misd. Assault,,1,9.0,-88.888888888888,17.0,24,-29.166666666666,115,112,2.678571428571,5.504587155963,-6.50406504065,***.*
14,UCR Rape*,,0,0.0,***.*,1.0,1,0,7,5,40,-41.666666666666,***.*,***.*
15,Other Sex Crimes,,1,0.0,***.*,2.0,2,0,10,19,-47.368421052631,-52.380952380952,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,2.0,0,***.*,3,5,-40,0,-25,-62.5
17,Shooting Inc.,,0,0.0,***.*,2.0,0,***.*,3,5,-40,0,-25,-57.142857142857
18,Hate Crimes,,0,0.0,***.*,2.0,0,***.*,6,1,500,0,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,15,,14,,3,,1,1,0,-66.666666666666,-92.857142857142,-93.333333333333
27,Rape,,23,,26,,16,,9,10,11.111111111111,-37.5,-61.538461538461,-56.521739130434
28,Robbery,,786,,772,,339,,220,155,-29.545454545454,-54.277286135693,-79.922279792746,-80.279898218829
29,Fel. Assault,,315,,290,,198,,132,182,37.878787878787,-8.080808080808,-37.241379310344,-42.222222222222
30,Burglary,,807,,624,,271,,124,93,-25,-65.682656826568,-85.096153846153,-88.475836431226
31,Gr. Larceny,,798,,663,,386,,326,394,20.858895705521,2.072538860103,-40.573152337858,-50.62656641604
32,G.L.A.,,636,,360,,114,,133,102,-23.308270676691,-10.526315789473,-71.666666666666,-83.962264150943
33,TOTAL,,3380,,2749,,1327,,945,937,-0.84656084656,-29.389600602863,-65.914878137504,-72.278106508875
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
