,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,0,2,-100,-100,***.*,-100
2,Rape,,0,0.0,***.*,1.0,0,***.*,3,2,50,-50,0,-25
3,Robbery,,5,2.0,150,16.0,10,60,53,62,-14.516129032258,70.967741935483,39.473684210526,-83.742331288343
4,Fel. Assault,,6,2.0,200,20.0,18,11.111111111111,93,86,8.13953488372,6.896551724137,40.90909090909,-14.678899082568
5,Burglary,,1,8.0,-87.5,6.0,17,-64.705882352941,68,71,-4.225352112676,3.030303030303,7.936507936507,-79.701492537313
6,Gr. Larceny,,9,16.0,-43.75,48.0,53,-9.43396226415,304,301,0.996677740863,29.361702127659,42.056074766355,-55.162241887905
7,G.L.A.,,0,0.0,***.*,2.0,2,0,13,19,-31.578947368421,0,116.666666666667,-91.03448275862
8,TOTAL,,21,28.0,-25,93.0,100,-7,534,543,-1.657458563535,21.088435374149,36.923076923076,-66.604127579737
9,Transit,,1,0.0,***.*,4.0,3,33.333333333333,23,12,91.666666666666,-39.473684210526,15,***.*
10,Housing,,0,1.0,-100,2.0,1,100,21,16,31.25,-4.545454545454,61.538461538461,***.*
11,Petit Larceny,,29,29.0,0,112.0,89,25.842696629213,553,466,18.669527896995,60.755813953488,17.409766454352,***.*
12,Retail Theft,,23,18.0,27.777777777777,95.0,58,63.793103448275,457,311,46.945337620578,265.6,***.*,***.*
13,Misd. Assault,,11,5.0,120,44.0,26,69.230769230769,196,139,41.007194244604,22.5,73.451327433628,***.*
14,UCR Rape*,,0,0.0,***.*,1.0,0,***.*,11,7,57.142857142857,22.222222222222,***.*,***.*
15,Other Sex Crimes,,2,1.0,100,6.0,6,0,34,27,25.925925925925,-19.047619047619,***.*,***.*
16,Shooting Vic.,,0,1.0,-100,0.0,2,-100,0,5,-100,-100,***.*,-100
17,Shooting Inc.,,0,1.0,-100,0.0,2,-100,0,5,-100,-100,***.*,-100
18,Hate Crimes,,0,0.0,***.*,1.0,2,-50,11,8,37.5,57.142857142857,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,19,,10,,3,,3,6,100,100,-40,-68.421052631578
27,Rape,,10,,12,,6,,3,6,100,0,-50,-40
28,Robbery,,983,,827,,319,,250,116,-53.6,-63.636363636363,-85.973397823458,-88.199389623601
29,Fel. Assault,,251,,303,,239,,136,190,39.705882352941,-20.502092050209,-37.293729372937,-24.302788844621
30,Burglary,,863,,787,,331,,236,172,-27.118644067796,-48.036253776435,-78.144853875476,-80.069524913093
31,Gr. Larceny,,1829,,1587,,919,,657,726,10.502283105022,-21.001088139281,-54.253308128544,-60.306178239475
32,G.L.A.,,521,,337,,148,,97,43,-55.670103092783,-70.945945945946,-87.240356083086,-91.746641074856
33,TOTAL,,4476,,3863,,1965,,1382,1259,-8.9001447178,-35.928753180661,-67.408749676417,-71.872207327971
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
