,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,1.0,0,***.*,1,3,-66.666666666666,0,-50,0
2,Rape,,0,0.0,***.*,3.0,3,0,8,6,33.333333333333,300,300,-11.111111111111
3,Robbery,,0,5.0,-100,10.0,9,11.111111111111,70,77,-9.090909090909,-6.666666666666,0,-83.372921615201
4,Fel. Assault,,6,2.0,200,17.0,18,-5.555555555555,108,97,11.340206185567,5.882352941176,163.414634146341,-18.796992481203
5,Burglary,,4,2.0,100,16.0,17,-5.882352941176,71,92,-22.826086956521,-28.282828282828,-28.282828282828,-92.665289256198
6,Gr. Larceny,,15,12.0,25,62.0,56,10.714285714285,294,297,-1.010101010101,-12.238805970149,87.261146496815,-54.699537750385
7,G.L.A.,,5,3.0,66.666666666666,20.0,13,53.846153846153,105,76,38.157894736842,31.25,26.506024096385,-93.43339587242
8,TOTAL,,30,24.0,25,129.0,116,11.206896551724,657,648,1.388888888888,-5.331412103746,44.713656387665,-82.619047619047
9,Transit,,1,0.0,***.*,3.0,1,200,12,5,140,500,200,***.*
10,Housing,,2,2.0,0,6.0,5,20,34,27,25.925925925925,9.677419354838,209.090909090909,***.*
11,Petit Larceny,,21,31.0,-32.258064516129,83.0,116,-28.448275862069,465,557,-16.517055655296,-24.267100977198,4.966139954853,***.*
12,Retail Theft,,9,14.0,-35.714285714285,36.0,53,-32.075471698113,180,260,-30.76923076923,-49.720670391061,***.*,***.*
13,Misd. Assault,,11,9.0,22.222222222222,47.0,33,42.424242424242,206,164,25.609756097561,9.574468085106,0.487804878048,***.*
14,UCR Rape*,,0,0.0,***.*,3.0,4,-25,11,7,57.142857142857,83.333333333333,***.*,***.*
15,Other Sex Crimes,,1,1.0,0,1.0,3,-66.666666666666,14,18,-22.222222222222,0,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,1.0,0,***.*,2,3,-33.333333333333,-33.333333333333,***.*,-89.473684210526
17,Shooting Inc.,,0,0.0,***.*,1.0,0,***.*,2,3,-33.333333333333,-33.333333333333,***.*,-86.666666666666
18,Hate Crimes,,0,0.0,***.*,3.0,3,0,18,6,200,28.571428571428,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,1,-100,6,3,100,100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,11,,8,,7,,5,4,-20,-42.857142857142,-50,-63.636363636363
27,Rape,,25,,23,,30,,13,15,15.384615384615,-50,-34.782608695652,-40
28,Robbery,,1204,,893,,492,,365,175,-52.054794520547,-64.430894308943,-80.40313549832,-85.465116279069
29,Fel. Assault,,375,,314,,272,,178,256,43.820224719101,-5.882352941176,-18.471337579617,-31.733333333333
30,Burglary,,2544,,2146,,1086,,728,225,-69.093406593406,-79.281767955801,-89.515377446411,-91.155660377358
31,Gr. Larceny,,1480,,1463,,912,,671,645,-3.874813710879,-29.276315789473,-55.912508544087,-56.418918918918
32,G.L.A.,,4206,,3298,,1281,,636,202,-68.238993710691,-84.231069476971,-93.875075803517,-95.197337137422
33,TOTAL,,9845,,8145,,4080,,2596,1522,-41.371340523882,-62.696078431372,-81.313689379987,-84.540375825292
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
